"id","utterance","rule_based","gpt","claude","consensus","pattern","next_student_move"
"137","What do you think, Thatcher?","A","A","A","A","unanimous","MakingClaim"
"138","And Whitney, what would your number sentence be?","A","B","B","B","majority_2_1","MakingClaim"
"139","When we convert, when do you ever have to convert to something?","A","C","C","C","majority_2_1","None"
"140","What we’re asked to do in that first problem?","A","A","A","A","unanimous","ProvidingEvidence"
"141","How do those relate to these points?","A","C","B","B","split_1_1_1",""
"142","Anything else that people think for this?","A","C","A","A","majority_2_1","MakingClaim"
"143","What two numbers multiplied is 24?","A","A","A","A","unanimous","ProvidingEvidence"
"144","Following my steps, what's the denominator?","A","A","B","A","majority_2_1","MakingClaim"
"145","Dani earned $9 in allowance last week, he spent two thirds of his allowance on comic books, how much money did he spend on comic books?","A","A","A","A","unanimous",""
"146","But when we're dealing with fractions, they can be because what matters is the size of the...","A","C","C","C","majority_2_1","MakingClaim"
"147","Somebody take me through their thinking on this one.","A","B","B","B","majority_2_1","MakingClaim"
"148","How many lines did they give us for our twelfths?","A","A","A","A","unanimous","MakingClaim"
"149","What would your final answer be?","A","A","A","A","unanimous","None"
"150","Eden, what are the two things that we are comparing for Diego?","A","A","A","A","unanimous","MakingClaim"
"151","Six times two which is?","A","A","A","A","unanimous","MakingClaim"
"152","Let’s take in the first column, what do those numbers represent?","A","C","C","C","majority_2_1","None"
"153","So what if we had 10 apples.","C","C","A","C","majority_2_1",""
"154","Zach, come and show them what we did.","A","B","B","B","majority_2_1","None"
"155","And then what could I do with it, if I sawed it in half?","A","C","C","C","majority_2_1","MakingClaim"
"156","So what is the one in the orange juice mean compared to the one and one fourth in the soda water?","A","C","C","C","majority_2_1","MakingClaim"
"157","Where is it at?","A","A","A","A","unanimous",""
"158","Wanna take a shot at it?","A","B","A","A","majority_2_1","MakingClaim"
"159","And then which one's bigger?","A","A","A","A","unanimous","MakingClaim"
"160","The hardest part is the explaining part, so what is it that you're going to be explaining in the problem?","A","C","C","C","majority_2_1",""
"161","What type of number?","A","A","A","A","unanimous","None"
"162","what do you do?","B","B","B","B","unanimous",""
"163","Dan, how do we start math today?","A","B","A","A","majority_2_1","None"
"164","John, can you explain what you did?","B","B","B","B","unanimous","MakingClaim"
"165","All these squares, if you counted all the red squares up, how many squares would there be filled in?","A","A","A","A","unanimous",""
"166","Brogan, what'd you get for an answer?","A","A","A","A","unanimous","MakingClaim"
"167","Now what have you found?","A","B","B","B","majority_2_1","None"
"168","And the denominator is the same as the what?","A","A","A","A","unanimous","MakingClaim"
"169","What is my answer?","A","A","A","A","unanimous",""
"170","What am I doing to one to get four?","A","A","A","A","unanimous","MakingClaim"
"171","What [unintelligible 00:39:33] might go into both of those?","A","C","A","A","majority_2_1",""
"172","What number is a factor of every even number?","A","A","A","A","unanimous","MakingClaim"
"173","Ethan, how do we find the perimeter?","B","B","B","B","unanimous","MakingClaim"
"174","Okay I'm going to go down here to 9 is 10% of what number?","A","A","A","A","unanimous",""
"175","Therefore, this is called?","A","A","A","A","unanimous",""
"176","At the ends of the function, all the way to the left at negative infinity, and all the way at the right at positive infinity, what is the function doing?","A","C","C","C","majority_2_1",""
"177","What's the y intercept?","A","A","A","A","unanimous",""
"178","What am I going to do?","A","B","B","B","majority_2_1","None"
"179","If you have an interpreter, what is that person doing?","A","C","C","C","majority_2_1","MakingClaim"
"180","Anybody want to tell me?","A","A","A","A","unanimous","ProvidingEvidence"
"181","Somebody tell me what digit is in the hundredths spot?","B","A","A","A","majority_2_1","MakingClaim"
"182","What were we making with our arrays?","A","B","A","A","majority_2_1","MakingClaim"
"183","What are we going to add?","A","A","A","A","unanimous","MakingClaim"
"184","Ok, why don't the rest of you sit down and let's have Erik  and Alan make that model.","C","B","B","B","majority_2_1","RelatingToAnother"
"185","What is that comma saying?","A","C","C","C","majority_2_1","MakingClaim"
"186","What I would do is start off with my rectangle to figure out what the right way is and then, how could you help Eli?","A","C","C","C","majority_2_1",""
"187","How many bags come in a carton.","A","A","A","A","unanimous",""
"188","Then well what do you see that's different?","A","B","B","B","majority_2_1","ProvidingEvidence"
"189","No, what are you thinking?","A","C","C","C","majority_2_1","MakingClaim"
"190","700 x 5, Charles.","A","A","A","A","unanimous","MakingClaim"
"191","So what are your numbers up here?","A","A","A","A","unanimous","MakingClaim"
"192","Which is a longer walk?","A","A","A","A","unanimous",""
"193","Wyatt, what are you thinking?","A","C","C","C","majority_2_1","ProvidingEvidence"
"194","What would my numerator be for each of those pieces?","A","A","A","A","unanimous","MakingClaim"
"195","And the positive one?","A","A","A","A","unanimous","MakingClaim"
"196","When you hear how much more what do you think of in your head?","A","C","C","C","majority_2_1","ProvidingEvidence"
"197","If you had one chance to roll the dice, and everything was on it, what number would you choose?","A","B","C","B","split_1_1_1","MakingClaim"
"198","How do you align it?","B","B","B","B","unanimous","MakingClaim"
"199","Shane, what does SS these equals?","A","C","A","A","majority_2_1","MakingClaim"
