"id","utterance","context","rule_based","llm","llm_reason","next_student_move","rb_num","llm_num"
"19","How many teaspoons of flavoring will he need for three batches of his new flavor?","[ Teacher ]: This last one, Ezra wanted to try a new flavor combination for his lip balm.
[ Teacher ]: To make one batch, he combined 1/8 teaspoon of peppermint oil, 3/8 teaspoon of vanilla oil, and 1/8 teaspoon of orange oil.","A","A","The teacher is asking for a calculation based on given quantities, which is a factual question.","","0","0"
"20","that you take one- when I call your name, you may select one- one equation and then you may explain to me why it belongs to that line.","[T]: I want to ask while you're looking at this problem-
[T]: For which of course you'll have several answers because you have checked which one belonged where, to which line,","C","C","Teacher asks the student to explain why an equation belongs to a specific line, requiring reasoning about the student's understanding of the relationship between equations and lines.","None","2","2"
"21","What was our initial shape?","[T]: Wrong.
[T]: The answer is neither.","A","A","Teacher asks for the initial shape, which is a factual recall question not requiring reasoning about student understanding.","MakingClaim","0","0"
"22","How do you know?","[T]: 1/4.
[T]: Now turn and talk to your shoulder partner and say how do you know it's 3/4 by 1/4 because I'm seeing a confusion.","C","C","Teacher asks students to explain their reasoning about fractions, indicating a need to understand their thought process.","","2","2"
"23","Does work or doesn’t work?","[T]: I want to keep track of the numbers that don’t work and I want to keep track of the numbers that do.
[T]: Which list does six go in? ","A","A","Teacher asks a factual question about categorizing a number, not requiring reasoning about student understanding.","MakingClaim","0","0"
"24","What do you notice about the fractions in the gray shaded boxes?","[T]: What do you notice about the fractions in the gray shaded boxes?
[T]: I want you to think first.","A","A","Teacher repeats a question about noticing fractions, which is a factual observation question.","MakingClaim","0","0"
"25","If 10% is 9, what number would be 100%?","[T]: No good, that was a really great question sweetie.
[T]: So 10%, what number would be 100%?","A","A","Teacher asks a factual question about percentage conversion, not requiring reasoning about student understanding.","MakingClaim","0","0"
"26","What's 30 x 5?","[T]: Excellent.
[T]: How about this one right here, Sean?","A","A","Teacher asks for a factual multiplication answer, not requiring reasoning about student understanding.","MakingClaim","0","0"
"27","Carrie, what do you think?","[Ms. Parker]: You just picked a new number.
[Ms. Parker]: Okay.","A","A","Teacher asks for Carrie's opinion without context indicating a need to understand her reasoning.","MakingClaim","0","0"
"28","Who could tell me the smallest fraction?","[T]: So I have one-twelfth, one-third, and one-sixth.
[T]: Who think that they could tell me the smallest fraction out of all three of these?","A","A","Teacher asks for the smallest fraction, a factual question not requiring reasoning about student understanding.","MakingClaim","0","0"
"29","What can I look at to help me discover, what is my out, what do I notice?","[T]: My in rule is 10, 25, 15, 30.
[T]: My out rule is three fifths.","A","B","Teacher asks students to identify what they notice about a pattern, requiring some reasoning about their understanding of the pattern.","","0","1"
"30","Piper, what do you think?","[T]: Every time it goes up by 1, the y goes up by 3.
[T]: Who's got an equation for this one?","A","C","Teacher asks for Piper's opinion on an equation, indicating a need to understand her reasoning.","MakingClaim","0","2"
"31","What do you think?","[T]: What does that tell about a word if most of the word is the same?
[T]: What does that tell us?","A","C","Teacher asks for a student's opinion on a word pattern, indicating a need to understand their reasoning.","","0","2"
"32","Who can share, what do we need to have an understanding of in order to make a good conjecture, and I'm giving you a big hint right now as I do that?","[T]: Go.
[T]: Five, four, three, two and one, so in order to do that, we have to have an understanding of what?","A","C","Teacher asks students to share their understanding of making a conjecture, requiring reasoning about their conceptual understanding.","MakingClaim","0","2"
"33","Seven times two is?","[T]: Five times two is?
[S]: 10","A","A","Teacher asks for a factual multiplication answer, not requiring reasoning about student understanding.","MakingClaim","0","0"
"34","River, did you have an idea of another use that wasn't adding and subtracting?","[T]: I like that too.
[T]: What would be another use that's not having to do with adding and subtracting?","A","C","Teacher asks River for an idea about a different use, indicating a need to understand their reasoning.","MakingClaim","0","2"
"35","If you have two of these, it's equal to that, so one what?","[T]: What color shape it ends up being, so if you have one of the fourth  what's the whole?
[T]: What's going to be the whole?","A","A","Teacher asks a factual question about fractions, not requiring reasoning about student understanding.","MakingClaim","0","0"
"36","You have already done the next one but... we do times one third, then we will find?","[T]: So that's annoying because you...
[S]: (inaudible) do three.","A","A","Teacher asks about the result of a multiplication operation, not requiring reasoning about student understanding.","MakingClaim","0","0"
"37","What did you have down here?","[T]: Let's get Silas to power clap.
[T]: One, two, there, clap.","A","A","Teacher asks what the student wrote, a factual recall question not requiring reasoning about student understanding.","","0","0"
"38","How does that pattern help you understand the base 10 in the easiest form?","[T]: What does this simple pattern right here tell you what you're doing?
[T]: I want you to take 30 seconds, think about it.","A","C","Teacher asks how a pattern helps understand base 10, requiring reasoning about the student's conceptual understanding.","","0","2"
"39","And I'd like you to type your story, what story is this graph telling you?","[T]: What is it showing you?
[T]: it's showing you elevation in feet versus time in minutes.","A","C","Teacher asks students to interpret a graph, requiring reasoning about their understanding of the graph's story.","","0","2"
"40","What do I have to look at?","[S]: 200 I think?
[S]: No one because it's not (inauidble).","A","C","The teacher is asking the student to identify what they should focus on, which requires understanding the student's current focus or confusion.","None","0","2"
"41","To be specific, what would you do?","[ Nessa ]: Very detailed.
[T]: Very detailed.","B","B","The teacher is asking the student to specify their procedure, which involves understanding what the student plans to do.","MakingClaim","1","1"
"42","What is the need to simplify or reduce?","[S]: Yes, like the  class, we would get  if we didn't simplify or we were supposed to simplify.
[S]: I don't remember doing that.","A","C","The teacher is probing the student's understanding of the concept of simplification, which requires reasoning about the student's conceptual grasp.","None","0","2"
"43","How about the school to the pool entrance?","[T]: How about the school?
[T]: Are you guys okay working together, or should I split you up?","A","A","The teacher is asking for a factual location, which does not require reasoning about the student's understanding.","MakingClaim","0","0"
"44","What do you think?","[T]: Do you feel like yours is correct, or do you feel like Connor's?
[T]: Or did you do some revising of your thinking?","A","C","The teacher is asking for the student's opinion on their own or another's solution, which requires understanding the student's confidence and reasoning.","None","0","2"
"45","What coordinate is the eight?","[Bruce]: The X, so now I'm going to Y.
[Mr. Strathom]: What coordinate is that?","A","A","The teacher is asking for a specific coordinate, which is a factual check and does not require reasoning about the student's understanding.","MakingClaim","0","0"
"46","What would the probabilities look like that time?","[T]: Now, suppose you had a two game, a, a, two game series but with these teams.  
[T]: In other words they're not evenly matched.   ","A","C","The teacher is asking the student to consider probabilities in a new scenario, which requires understanding the student's grasp of probability concepts.","None","0","2"
"47","What did I actually do?","[T]: Let's be very specific.
[T]: Don't  raise your hand.","A","B","The teacher is asking the student to recount their actions, which involves understanding what the student did.","","0","1"
"48","So, what are you gonna do with that?","[T]: Okay.
[S]: (inaudible)","A","B","The teacher is asking the student to explain their next steps, which involves understanding the student's plan or procedure.","MakingClaim","0","1"
"49","If one column is a 10th what is one square, Vicki?","[T]: I can shade grid and represent and solve decimal, addition and subtraction problems.
[T]: So if one column is a tenth, what is one square?","A","A","The teacher is asking for a factual answer about the value of a square, which does not require reasoning about the student's understanding.","MakingClaim","0","0"
"50","Angelica, do you think GCF or LCM?","[T]: You want me to put you in the middle for now?
[T]: Okay, I'll put you in the middle for now.","A","C","The teacher is asking the student to choose between GCF or LCM, which requires understanding the student's reasoning or decision-making process.","","0","2"
"51","So, what do you see there?","[S]: You think we should?
[T]: Yes.","A","C","The teacher is asking the student to describe what they observe, which involves understanding the student's perception or focus.","None","0","2"
"52","Emanual, what did you do for your equation?","[T]: Oh, this is gonna be a lot of adding.
[T]: So what did you actually start with with your equation?","B","B","The teacher is asking the student to describe their starting point, which involves understanding the student's procedure.","None","1","1"
"53","If we look at just his first one, can you tell me-- Tell us about your picture.","[T]: Will you bring yours up here please?
[T]: Okay.","B","C","The teacher is asking the student to explain their picture, which involves understanding the student's representation and reasoning.","MakingClaim","1","2"
"54","But take care that- Let's look at your- what did you do before, explain it to me in words.","[SN]: Try to do this piece here.
[SN]: It equals 48.","B","B","The teacher is asking the student to explain their previous actions, which involves understanding the student's procedure.","MakingClaim","1","1"
"55","What's the rule for number two, Nate?","[SS]: Yessety-yes?
[T]: Who would like to share the rule?","A","A","The teacher is asking for a factual rule, which does not require reasoning about the student's understanding.","None","0","0"
"56","So when it's zero, what would it visually look like?","[T]: It's going to be a cone, yeah.
[T]: Pyramid -- circular pyramid.","A","C","The teacher is asking the student to visualize a concept, which involves understanding the student's conceptual grasp.","","0","2"
"57","We need to look at this left over piece and see what fraction of the part it is.","[T]: Okay.
[T]: So, crew, we know that it goes in at least one time, right?","A","C","The teacher is asking the student to analyze a fraction, which involves understanding the student's conceptual understanding of fractions.","MakingClaim","0","2"
"58","If I could take the smartboard and flip it upside down, we're not having the bottom win, we're now going to have what?","[T]: Cancel out and in the long run, you're just approaching negative .
[T]: This group's analysis is actually perfect.","A","C","The teacher is asking the student to consider a hypothetical scenario, which involves understanding the student's conceptual understanding.","MakingClaim","0","2"
"59","OK, tell me about this.","[Stephanie]: And so, then I made, (flips through papers) we made this.
[T1]: Oh, that’s interesting, let me see. ","A","B","The teacher is asking the student to explain their work, which involves understanding the student's reasoning and process.","None","0","1"
"60","Anybody with me that has an idea of what I'm going to do for the other two sisters?","[T]: We actually did that.
[T]: Does this work?","A","C","The teacher is asking students to predict the next step, which requires considering what students might understand about the pattern or process.","ProvidingEvidence","0","2"
"61","What do we think for the sixth one?","[T]: Okay?
[T]: alright., all right, someone online.","A","A","The teacher is asking for a factual answer about the sixth item, without probing student understanding.","MakingClaim","0","0"
"62","Triangle A B C and triangle F E D. And number 10, which is the hypotenuse of triangle A B C?","[T]: Do you want me to repeat it?
[SN]: Yeah.","A","A","The teacher is asking for a factual identification of the hypotenuse, which does not require reasoning about student understanding.","","0","0"
"63","How is it related to subtraT2ion, Michael?","[Meredith]: Do we have a pen?
[Meredith]: Do you have a  pen in that desk?","A","C","The teacher is asking how something is related to subtraction, which requires understanding the student's conceptual connections.","None","0","2"
"64","So if you have eight, what would you do?","[Ariel]: For nine, I would do eight, then I would multiply the number by two and then I would subtract two and then I would add three.
[T]: So I got when you said … says that again …[the first way,] you seem to have so many ways of doing things that I get lost.","B","B","The teacher is asking the student to clarify their procedure, focusing on what they did.","MakingClaim","1","1"
"65","6 and what equals 12?","[T]: If my in is 12-
[S]: 2 is 12.","A","A","The teacher is asking for a factual completion of an equation, without probing understanding.","None","0","0"
"66","So when I say multiplication facts, when I tell you to practice your multiplication facts, what should you be practicing?","[Ezra]: Uh, factors multiples...
[Mr. Parker]: Good, but basic right?","A","C","The teacher is asking the student to reflect on what practicing multiplication facts entails, which involves understanding the student's interpretation.","MakingClaim","0","2"
"67","If I have a to the power of negative two, that equals one over a-","[T]: Now, those explorations, particularly the first one, you're going to find that your tool kit from last week is going to be very helpful for you because notice all the property names are here.
[T]: You've got to identify, you got to match those things together, but you're also completing what goes in the blank.","A","A","The teacher is stating a mathematical fact without probing student understanding.","MakingClaim","0","0"
"68","3/4 x 1/4 equals?","[T]: Write a multiplication number sentence for the area of the shaded rectangle.
[T]: Basically, we've already done that.","A","A","The teacher is asking for a factual answer to a multiplication problem, without probing understanding.","","0","0"
"69","Median, how can we find median?","[T]: What's the median of this list?
[T]: How can we find that?","B","B","The teacher is asking for a procedure to find the median, focusing on what the student did.","MakingClaim","1","1"
"70","Negative, but in this one the number will be...","[T]: Yes, the exponent is an even number but in the other one, the exponent is an odd number so what kind of number will you come up with?
[S]: Negative.","A","C","The teacher is prompting the student to consider the implications of an even exponent, which involves understanding the student's reasoning.","MakingClaim","0","2"
"71","What's negative X times negative X times negative X going to be?","[T]: Then the parentheses with the negative X here.
[T]: Then I got to do a little math.","A","A","The teacher is asking for a factual computation of a multiplication problem, without probing understanding.","","0","0"
"72","How do you ... could you show me that check?","[Ankur]: Yeah
[Romina]: Yeah","B","B","The teacher is asking the student to demonstrate their procedure, focusing on what they did.","MakingClaim","1","1"
"73","Okay, Owen, can you share what you did?","[T]: I don't know what's going on.
[T]: There we go.","A","B","The teacher is asking the student to share their procedure, focusing on what they did.","None","0","1"
"74","Logan, what do we know about volume?","[T]: We'll do one more.
[T]: Touch down.","A","C","The teacher is asking for a conceptual understanding of volume, which involves probing the student's understanding.","MakingClaim","0","2"
"75","Sixty and so what is the second share worth?","[T]: You found 30 and multiplied by two and got?
[SN]: Sixty.","A","A","The teacher is asking for a factual answer about the second share, without probing understanding.","MakingClaim","0","0"
"76","And what would that be?","[T]: Landon, which one would you like to tackle?
[Landon]: 30x2","A","A","The teacher is asking for a factual computation of a multiplication problem, without probing understanding.","MakingClaim","0","0"
"77","Luke, what kind of connections do you see?","[Ms. Parker]: Do you see a connection between these numbers?
[Students]: Yes.","A","C","The teacher is asking the student to articulate connections, which involves understanding the student's reasoning.","MakingClaim","0","2"
"78","So if they need two teaspoons but we're making three recipes, what are we going to do?","[Ms. Smith]: Two teaspoons.
[Class]: Six teaspoons.","A","B","The teacher is asking for a procedural application of multiplication to solve a problem, focusing on what the student did.","MakingClaim","0","1"
"79","Like I say that, what am I really talking about?","[Ms. Reeves]: Yeah, so these two lines mean absolute value.
[Ms. Reeves]: Who can remember the definition of absolute value?","A","C","The teacher is asking for a conceptual understanding of absolute value, which involves probing the student's understanding.","","0","2"
"80","Whatever I do to the bottom--","[Teacher]: Multiply?
[Students]: By five.","A","A","The teacher is likely prompting students to complete a known mathematical rule, not requiring reasoning about student understanding.","MakingClaim","0","0"
"81","How does the whole diagram look, the whole garden?","[SN]: How can you determine how much of it is tiled?
[T]: What does it look like, the example, the diagram?","A","A","The teacher is asking for a description of the diagram, which does not require deep reasoning about student understanding.","MakingClaim","0","0"
"82","How can we model problem number one?","[T]: Next person.
[T]: Adeline, you have problem number one.","A","B","The teacher is asking how to model a problem, which requires understanding the student's approach to the problem.","ProvidingEvidence","0","1"
"83","Tell me what the Y that goes with it is.","[T]: This, I gave you the x.
[T]: So this is saying go to five on the X, go find the function.","B","A","The teacher is asking for a specific value, which is a factual check and does not require reasoning about student understanding.","","1","0"
"84","If I ignore the  and I just look at that, how could I rewrite that?","[T]: All right so I don't have .
[T]: How could I rewrite that?","A","B","The teacher is asking the student to consider a different way to express something, which involves understanding the student's approach.","None","0","1"
"85","What good is a secret that doesn’t work?","[Michael]: It only worked for a couple of them.
[S]: It doesn’t work.","A","C","The teacher is questioning the utility of a method, which requires understanding the student's reasoning about its effectiveness.","MakingClaim","0","2"
"86","What's 12 ÷ 6?","[T]: Yes, and that's not.
[T]: This divided by 6.","A","A","The teacher is asking for a simple division fact, which does not require reasoning about student understanding.","","0","0"
"87","How many more lines am I going to need?","[T]: Because can I say, ""SS right, 1/6, 2/6, 3/6, 6/6""?
[S]: No.","A","A","The teacher is asking for a specific number of lines, which is a factual check and does not require reasoning about student understanding.","MakingClaim","0","0"
"88","What are the probabilities of those things happening?","[T]:  Then -- or you could have Team A win the -- win one game and Team B win the other. 
[T]: Or Team B could win both games, right? ","A","C","The teacher is asking about probabilities, which requires understanding the student's grasp of probability concepts.","MakingClaim","0","2"
"89","If I take my two eighths, what does it equal?","[Ms. Strathom]: Four and eight.
[Ms. Strathom]: Well, look at that.","A","A","The teacher is asking for a specific equivalence, which is a factual check and does not require reasoning about student understanding.","","0","0"
"90","3 12 minus 3 =?","[T]: already.
[T]: Okay.","A","A","The teacher is asking for a simple subtraction fact, which does not require reasoning about student understanding.","MakingClaim","0","0"
"91","How many numbers did you have in your list if you listed them all out?","[SN]: If you use a calculator and find the percent of kids at Lincoln school, it's a decimal.
[SN]: I think it's T because the C and B are like the same thing.","A","A","The teacher is asking for a factual count of numbers, which does not require reasoning about student understanding.","MakingClaim","0","0"
"92","How many were left?","[T]: No.
[T]: What if I said I ate four of my eight cookies.","A","A","The teacher is asking for a simple subtraction fact, which does not require reasoning about student understanding.","MakingClaim","0","0"
"93","And, for example, in what kind- what situations does this become a straight line?","[T]: You won't get any numbers, right?
[S]: Yes.","A","C","The teacher is asking about conditions for a straight line, which requires understanding the student's grasp of the concept.","None","0","2"
"94","The green triangle up there, which axis?","[T]: Not quite because then G' would match up with F, and F would match up with G. But it's a reflection, right?
[T]: Like this, right?","A","A","The teacher is asking for a specific axis, which is a factual check and does not require reasoning about student understanding.","","0","0"
"95","What do you sort of do to  imagine it in your heads to imagine the length?","[T]: So  Brian, you can't imagine but that's a good way of doing  it, so you could all imagine the length of a meter stick.
[T]: And what do you do in your heads to imagine the  length of two meters?","A","C","The teacher is asking about a mental process, which requires understanding the student's approach to visualization.","MakingClaim","0","2"
"96","What do you mean?","[T]: What's the first thing you tried to do, Selena?
[ Selena ]: I looked for my fourths.","A","C","The teacher is asking for clarification of a term used by the student, which requires understanding the student's thinking.","MakingClaim","0","2"
"97","What do you think we're going to do?","[Ms. Smith]: And then she sells four tickets a day for one week.
[Ms. Smith]: Whoa.","A","C","The teacher is prompting the student to predict the next step, which requires understanding the student's grasp of the problem.","None","0","2"
"98","I'd like you to talk at your teams about your multiples and your strategy for finding the multiples.","[T]: Flash.
[T]: Thank you.","A","B","The teacher is asking students to discuss their strategy, which requires understanding their approach to finding multiples.","","0","1"
"99","Alfie, what do you think?","[T]: Yeah, nice job thinking about money there.
[T]: Okay the last one we have is 50%.","A","C","The teacher is asking for the student's opinion, which requires understanding the student's reasoning about the problem.","MakingClaim","0","2"
"100","So what is a fourth of three?","[T]: And then a fourth of each of those.
[T]: So 123412341234.","A","A","Teacher asks for a factual answer about a fraction; no reasoning about student thinking is needed.","MakingClaim","0","0"
"101","What is your estimate?","[S]: Closer to a half.
[T]: Closer to a half.","A","C","Teacher asks for the student's estimate, which requires considering the student's thought process about the problem.","MakingClaim","0","2"
"102","What do we think about, look at the arc, and whisper to your face partner again?","[T]: Let's do number two together.
[T]: This is an interesting one.","A","C","Teacher prompts students to think and discuss, indicating a focus on their reasoning about the arc.","","0","2"
"103","And the question I forgot to ask you in the very first poster that we did, is: How do we measure area?","[S]: The perimeter.
[T]: As you work, think about what… what area is.","A","C","Teacher asks about the concept of measuring area, probing the student's understanding of the concept.","","0","2"
"104","Tell us how it is, what's the right answer?","[Mr. Parker]: What would you do?
[Adeline]: I'd...","B","A","Teacher asks for the correct answer, focusing on the factual outcome rather than the student's reasoning.","MakingClaim","1","0"
"105","So how many pieces of data do I now have on the right-hand side?","[T]: Therefore, the seventh and eighth piece of data can still remain in play when we are trying to find the first and third quartile.
[SN]: Yeah.","A","A","Teacher asks for a factual count of data pieces, not requiring reasoning about student understanding.","MakingClaim","0","0"
"106","Can't you make one on th- this side?","[S]: Hm.
[T]: Hm?","A","C","Teacher prompts the student to consider an alternative, indicating some reasoning about the student's understanding.","MakingClaim","0","2"
"107","Then this one is showing that I modified?","[S]: Modifying X.
[T]: Just X.","A","B","Teacher checks if the student understands the modification, focusing on the student's procedure.","MakingClaim","0","1"
"108","Is there a way we can find out how far away they are from one another using the ordered pairs?","[S]: I know.
[S]: Yes.","A","C","Teacher asks about a method to find distance, probing the student's understanding of ordered pairs.","ProvidingEvidence","0","2"
"109","How do you know it's a line, ?","[T]: It is not a line segment.
[T]: It is not a Bailey.","C","C","Teacher asks for justification of the student's claim, probing their understanding of geometric concepts.","","2","2"
"110","How much is it if you take off the brackets?","[S]: Mm?
[T]: How much is it when you multiply it?","A","A","Teacher asks for a factual calculation, not requiring reasoning about student understanding.","MakingClaim","0","0"
"111","How did you get one and one quarter when  you called the brown rod two now?","[T1]: That’s something new that Sarah and Audra  introduced that I think is very nice.
[T1]: But now let’s hear the  other argument.","B","C","Teacher asks how the student arrived at a specific answer, focusing on their reasoning process.","","1","2"
"112","What was the strategy we used yesterday to solve problems like number three?","[T]: Ready?
[T]: Go.","B","B","Teacher asks for recall of a strategy, focusing on the student's procedural memory.","ProvidingEvidence","1","1"
"113","Everybody look and see, what are the keywords to help you see how to modify this?","[T]: What should the picture look like?
[T]: What are the keywords there?","A","C","Teacher asks students to identify keywords, focusing on their understanding of the problem context.","","0","2"
"114","So he went on the roller coaster and he could have gone on the roller coaster how many times?","[T]: Grandmother gave him enough for two rides, which is two times eight korun.
[T]: Plus he received from his grandfather an additional five times eight korun.","A","A","Teacher asks for a factual calculation based on given information, not requiring reasoning about student understanding.","MakingClaim","0","0"
"115","What do you need to do?","[T]: Addison, don't automatically say you don't know how to do it.
[Addison]: I don't.","A","C","Teacher asks what the student needs to do, prompting them to consider their own understanding and next steps.","MakingClaim","0","2"
"116","Do you remember what that's called?","[S]: Um, first you have to so you have to look at the numbers and then if
[T]: what kind of fraction is one and nine twentieths?","A","B","Teacher asks for recall of a term, focusing on the student's memory of terminology.","MakingClaim","0","1"
"117","And Patrick, what kind of or what do we know about corresponding angles?","[T]: corresponding Thanks, Patrick.
[T]: Correspong.","A","C","Teacher asks about properties of corresponding angles, probing the student's understanding of geometric concepts.","MakingClaim","0","2"
"118","Good, so what'll my numerator be?","[T]: Why did you say there at the end whatever you do to the bottom you do to the top?
[ Alex ]: Because if you cut the pizza more, you're changing the number of slices that you care about.","A","A","Teacher asks for a factual calculation of the numerator, not requiring reasoning about student understanding.","MakingClaim","0","0"
"119","Then I had to exchange it for a--?","[S]: The bottom numerator.
[S]: I couldn't subtract the top numerator from the bottom numerator because the top numerator was smaller.","A","B","Teacher prompts the student to complete their explanation, focusing on their procedural understanding.","MakingClaim","0","1"
"120","If I have to write a rule for subtracting decimals what is something the rule has to contain?","[T]: Thank you.
[T]: Come here.","A","C","The teacher is asking for a component of a rule, which requires understanding what the student knows about rules for subtracting decimals.","MakingClaim","0","2"
"121","We have to use our math vocabulary, what's the math vocabulary I want to hear from you today?","[T]: If I am explaining that piece to a third-grader, Pete, and I say I multiply it, are they going to understand what you're saying?
[ Pete ]: No.","A","C","The teacher is prompting the student to use specific vocabulary, which requires understanding what the student knows about math vocabulary.","MakingClaim","0","2"
"122","David, what was one of your strategies?","[Ms. Smith]: Before I hear answers, I want to know how you thought about this problem?
[Ms. Smith]: What did you do to solve it?","A","B","The teacher is asking for a strategy, which requires understanding the student's approach to solving the problem.","None","0","1"
"123","I’m hearing people whisper, what is it?","[T]: Okay, the number we give to an impossible even.
[T]: Something’s that impossible that can’t happen.","A","A","The teacher is asking for a factual answer about what is being whispered, without needing to understand the student's thinking.","MakingClaim","0","0"
"124","What is our answer?","[T]: 15, do we agree?
[T]: I agree.","A","A","The teacher is confirming an answer, which does not require understanding the student's reasoning.","MakingClaim","0","0"
"125","What is this one closer to?","[T]: So thinking about it, I think Sasha had a really great way of visualizing it and then also, when you have 1/4, it's tricky because it's right in the middle.
[T]: Let's just do one more and then we need to move on.","A","C","The teacher is asking for a comparison, which requires understanding the student's reasoning about proximity.","","0","2"
"126","How much is that one worth?","[T]: If our fraction is nine twentieths.
[T]: our denominators is 20.","A","A","The teacher is asking for a factual answer about the value of a fraction, without needing to understand the student's thinking.","MakingClaim","0","0"
"127","Is there another number name for the  purple?","[Erik]: One twelfth
[T]: That's one name, one twelfth.","A","C","The teacher is asking for an alternative name, which requires understanding the student's knowledge of equivalent fractions.","MakingClaim","0","2"
"128","3^2 x 5. Who can take this one down for me?","[T]: How do I re-write that using exponential form, Charlie?
[ Charlie ]: You divide","A","A","The teacher is asking for a factual answer about who can take down the expression, without needing to understand the student's thinking.","MakingClaim","0","0"
"129","When you answer these questions, what would make them good answers?","[Claud]: Compare your predictions with problem two.
[T]: Yes, actuSSy answer these two questions.","A","C","The teacher is asking for criteria for good answers, which requires understanding the student's reasoning about quality.","","0","2"
"130","What does that mean?","[T]: With real-world contexts or situations.
[T]: Talk to your friends, what's a real-world context or situation.","A","C","The teacher is asking for an explanation of a term, which requires understanding the student's interpretation of real-world contexts.","ProvidingEvidence","0","2"
"131","Okay, Maya, will you please explain your estimate, and then how you solved it?","[T]: Okay, so, Maya, will you turn your microphone on please?
[S]: Yes.","C","B","The teacher is asking for an explanation of the student's estimate and solution, which requires understanding the student's process.","ProvidingEvidence","2","1"
"132","Subtraction is doing what?","[Georgia]: We needed to round it to help us get the answer, that's why, but then we got 0.33and then we started shading in but then we realized that-- We started shading in but then we realized that would like be adding the two.
[T]: If you shade in both of those amounts, you're adding because putting two parts together is adding.","A","C","The teacher is asking for a conceptual understanding of subtraction, which requires understanding the student's grasp of the operation.","MakingClaim","0","2"
